Titulo,Estreno,Duracion,Ventas,Genero
All That... for This?!,8/18/2021,180,3065,Comedia 
All the Boys Love Mandy Lane,11/08/2021,175,8034,Terror
All the Vermeers in New York,10/19/2020,95,9598,Comedia 
All Watched Over by Machines of Loving Grace,7/14/2022,95,500,Documental
All's Faire in Love,2/22/2021,79,7463,Comedia 
Almost Married,12/20/2020,181,1747,Comedia 
Aloha Summer,05/06/2021,167,3115,Comedia 
Alone in the Dark II,05/06/2021,172,9843,Terror
Alphabet City,8/25/2021,149,8543,Crimen
Altman,9/18/2018,174,9468,Documental
Amandla,8/25/2023,125,8059,Documental
Amazing Journey: The Story of The Who,6/26/2022,183,2511,Documental
Amazon Women on the Moon,5/23/2020,147,6192,Comedia 
America Before Columbus,08/04/2021,95,1383,Documental
American Crime,4/30/2019,206,5701,Crimen
American Gun,02/09/2020,106,2131,Crimen
American Me,3/23/2023,95,6671,Crimen
American Mullet,02/06/2020,95,9576,Documental
American Psycho II: All American Girl,11/22/2020,102,7510,Crimen
American Virgin,3/29/2020,181,1555,Comedia 
American Zombie,7/19/2019,137,5044,Comedia 
America's Heart and Soul,11/24/2022,156,1016,Documental
AmeriQua,10/14/2019,71,2532,Comedia 
Amigos,02/02/2019,183,627,Comedia 
Amish Murder,10/16/2019,77,1479,Crimen
Amityville 3-D,03/09/2022,157,3547,Terror
Amityville: A New Generation,6/14/2019,181,88,Terror
Amongst Friends,02/12/2022,157,4735,Crimen
Amor a primera vista,05/01/2023,181,4305,Comedia 
Amor adulto,8/15/2023,184,1197,Comedia 
Amor al cuadrado otra vez,7/14/2021,108,4725,Comedia 
Amos & Andrew,1/13/2021,77,8979,Comedia 
"Amour fou, L'",12/09/2022,181,8211,Comedia 
An Alligator Named Daisy,09/03/2019,181,6145,Comedia 
An Everlasting Piece,11/03/2018,60,1663,Comedia 
An Injury to One,7/16/2023,182,5819,Documental
Anamorph,06/06/2020,95,4074,Crimen
Anatomy ,3/13/2023,195,2223,Terror
Anchorman,9/16/2004,190,9064,Comedia 
Anchorman 2: The Legend Continues,3/31/2022,108,3079,Comedia 
Androcles and the Lion,02/07/2022,184,5291,Comedia 
Angel Heart,3/22/2021,195,5189,Crimen
Angels' Share,6/20/2020,100,4100,Comedia 
Animal Factory,10/26/2019,193,6323,Crimen
Animales fantasticos,12/19/2020,95,1398,Aventura
Aniquilacion,1/16/2021,181,2841,Aventura
Annabelle,1/18/2020,95,9641,Terror
Annie,7/25/2020,134,5084,Comedia 
Annie Hall,7/13/1977,137,682,Comedia 
Anything Else,04/12/2021,183,8144,Comedia 
Anything Goes,8/23/2019,134,4641,Comedia 
Apache Territory ,10/04/2022,117,7371,Western
Apocalypto,11/15/2019,181,4848,Aventura
Apollo 18,7/16/2023,88,3012,Terror
Aprendiz de Caballero,09/05/2020,95,4191,Aventura
April in Paris,12/25/2019,101,1079,Comedia 
Arbor,02/08/2022,177,133,Documental
Are We Done Yet?,1/27/2022,98,7506,Comedia 
Are You Here,1/20/2019,131,6146,Comedia 
Argentina latente,11/03/2022,152,3338,Documental
Argonuts,6/23/2023,183,54,Documental
Arguing the World,08/12/2019,128,805,Documental
Arizona Baby,5/14/1987,119,2926,Comedia 
Armed and Dangerous,01/10/2021,95,9945,Comedia 
Army of Crime ,01/05/2020,181,7618,Crimen
Around the World Under the Sea,1/24/2020,179,5578,Documental
"Arrested Development Documentary Project, The",01/01/2022,184,4509,Documental
Arsenico por compasion,03/06/1944,87,1261,Comedia 
Arthur 2: On the Rocks,9/27/2019,134,8857,Comedia 
As If I Didn't Exist ,09/07/2019,85,2357,Documental
Asesinato ¿Que asesinato?,3/21/2021,184,6827,Crimen
Asi en la tierra como en el infierno,10/29/2020,165,9454,Terror
Assisted Living,4/27/2021,100,451,Comedia 
Asterix & Obelix: Mission Cleopatra,1/29/2021,193,9708,Aventura
Astronaut Farmer,12/25/2020,71,7484,Aventura
Asylum,11/18/2019,68,2511,Terror
At Home by Myself... with You,9/23/2022,91,2025,Comedia 
At Long Last Love,01/06/2019,200,6527,Comedia 
At Midnight I'll Take Your Soul ,01/12/2021,89,4219,Terror
At the River I Stand,3/25/2021,83,2392,Documental
,02/12/2022,181,4705,Comedia 
Atrapado en el tiempo,9/20/1993,146,9399,Aventura
Atrocious,3/26/2023,95,3661,Terror
Attack of the 5 Ft. 2 Women,4/19/2021,145,3258,Comedia 
Attack of the 50 Ft. Woman,10/21/2020,100,4711,Comedia 
,05/03/2021,153,5939,Terror
Attack of the Puppet People,10/12/2021,180,1320,Comedia 
Attack the Block,03/08/2021,201,4070,Comedia 
Austin Powers in Goldmember,12/13/2021,76,6357,Comedia 
Author! Author!,11/27/2019,125,5509,Comedia 
Autism: The Musical,09/05/2021,248,548,Documental
Avanti!,6/17/2021,129,6770,Comedia 
Avenue Montaigne,05/10/2021,116,3592,Comedia 
Aziz Ansari: Buried Alive,01/02/2021,73,2774,Documental
B.N.B.,04/05/2021,110,3707,Comedia 
Baby Mama,5/31/2019,134,1999,Comedia 
Back to the Beach,08/09/2022,121,3310,Comedia 
Back to the Future,06/07/2020,111,4372,Aventura
Back to the Future Part III,12/31/2018,147,3846,Aventura
Bad Fucking,6/21/2019,150,6581,Comedia 
Bad Influence,5/30/2022,167,622,Crimen
Bad Milo ,09/11/2022,100,4755,Comedia 
Bad Moon,03/08/2022,95,8637,Terror
Badman's Country,11/29/2019,209,710,Western
Bananas,1/25/2023,79,237,Comedia 
Band Called Death,09/09/2020,60,5392,Documental
Band of Outsiders ,03/09/2023,181,4649,Comedia 
Bandwagon,8/23/2023,95,7150,Comedia 
Barbarella,12/29/2018,110,408,Aventura
Barbarian Queen,2/28/2022,172,6389,Aventura
Barking Dogs Never Bite ,7/20/2022,134,3537,Comedia 
Barton Fink,05/12/2019,134,2485,Comedia 
Beaches,6/16/2020,143,1988,Comedia 
Beaches of Agnes,10/01/2021,206,9248,Documental
Beats Rhymes & Life: The Travels of a Tribe Called Quest,10/20/2019,202,3779,Documental
Beauty and the Bastard,11/05/2021,176,496,Comedia 
Beauty Prize,6/15/2020,149,5863,Comedia 
Beauty Shop,12/21/2019,120,1860,Comedia 
Beethoven's 3rd,04/03/2020,184,7836,Comedia 
Beethoven's 5th,12/13/2018,166,122,Comedia 
Being Human,01/04/2021,96,4092,Comedia 
Believe Me,04/04/2023,183,4848,Comedia 
Belle of the Nineties,07/08/2019,181,2508,Comedia 
Benny & Joon,06/06/2021,152,7244,Comedia 
Besotted,9/16/2020,66,4438,Comedia 
Best Friends,5/31/2022,104,1937,Crimen
Best Laid Plans,2/22/2022,181,3996,Crimen
Bestiaire,05/03/2021,122,9203,Documental
Better Living Through Chemistry,3/30/2019,102,3980,Comedia 
Better Than Chocolate,9/18/2021,152,3300,Comedia 
Better Than Sex,2/25/2020,171,3485,Comedia 
Beverly Hillbillies,10/12/2018,171,8746,Comedia 
Beverly Hills Chihuahua 3,3/28/2021,100,4566,Comedia 
Beyond All Boundaries,11/13/2019,142,5521,Documental
Beyond the Door II,02/06/2021,95,967,Terror
Beyond the Mat,12/09/2020,90,6508,Documental
Beyond the Valley of the Dolls,12/27/2018,169,6729,Comedia 
Big Girls Don't Cry... They Get Even,11/13/2019,167,6618,Comedia 
Big Momma's House,8/23/2022,131,8598,Comedia 
Big Shot: Confessions of a Campus Bookie,8/15/2021,134,5793,Comedia 
Big Trouble,11/29/2019,81,9113,Comedia 
Big White,08/06/2023,202,4505,Comedia 
Bigfoot Lives,1/28/2021,181,4581,Documental
Bill Bailey: Tinselworm,5/15/2020,140,3656,Comedia 
Bill Burr: I'm Sorry You Feel That Way,06/09/2019,95,254,Comedia 
Bill Burr: Let It Go,5/27/2020,179,7724,Comedia 
Bill Hicks: Revelations,11/13/2019,137,9039,Documental
Billy Madison,2/15/2023,81,5128,Comedia 
Bio-Dome,07/08/2021,69,5116,Comedia 
Birdemic: Shock and Terror,2/25/2020,179,6678,Terror
Birdman,6/21/2014,140,5212,Comedia 
Black Beauty,10/17/2021,89,3920,Aventura
Black Cadillac,07/02/2023,102,7554,Terror
Black Death,06/03/2020,181,1027,Aventura
Black Friday,6/20/2020,199,6511,Terror
Black Gold,06/12/2023,186,4899,Aventura
Black Rainbow,8/25/2022,79,9061,Terror
Black Sheep,01/01/2019,137,8218,Comedia 
Black Stallion Returns,12/06/2019,134,4136,Aventura
Black Sun,12/30/2021,162,1161,Documental
Black White + Gray,12/29/2020,146,1615,Documental
Blackboard Jungle,4/27/2021,70,7643,Crimen
Bleeder,10/06/2020,91,488,Crimen
Blind Spot: Hitler's Secretary,11/01/2022,95,8613,Documental
Bling: A Planet Rock,05/11/2023,95,4651,Documental
Bliss,01/07/2020,122,8670,Comedia 
Blonde Ambition,12/07/2022,79,9055,Comedia 
Blonde Crazy,1/13/2023,134,5041,Comedia 
Blonde Ice,11/18/2018,91,8650,Crimen
Blondie Knows Best,2/28/2022,206,4566,Comedia 
Blood,4/29/2019,63,5809,Crimen
Blood and Concrete ,10/14/2019,109,7258,Crimen
Blood in the Mobile,5/22/2022,117,4244,Documental
Blood Night: The Legend of Mary Hatchet,11/01/2021,77,5411,Terror
Blood on Satan's Claw ,11/24/2019,98,9788,Terror
Blood on the Moon,3/28/2022,68,8734,Western
Blood Work,10/06/2022,192,1756,Crimen
Bloodbath at the House of Death,10/21/2018,95,8864,Comedia 
Bloodlust: Subspecies III,1/17/2020,89,612,Fantasia
Blue Lagoon,02/03/2022,174,6230,Aventura
Blue Skies,10/09/2018,97,4176,Comedia 
Blue State,5/17/2020,190,566,Comedia 
Bo Burnham,11/23/2021,173,5687,Documental
Boat,06/11/2019,132,1262,Comedia 
Bones Brigade: An Autobiography,11/04/2018,79,5330,Documental
Boogie Woogie,4/20/2020,101,7342,Comedia 
Book club 2,3/24/2020,73,4517,Comedia 
Book of Love,1/29/2021,181,8291,Comedia 
Boom Town,9/29/2019,183,2592,Aventura
Borat,8/16/2006,66,7525,Comedia 
Boricua's Bond,7/26/2023,153,9695,Comedia 
Boris and Natasha,2/16/2019,77,1313,Comedia 
Born Free,01/12/2022,169,5480,Aventura
Born Rich,10/14/2022,117,3987,Documental
Born Yesterday,12/15/2021,209,6764,Comedia 
Borrowers,11/26/2021,180,7345,Aventura
Bossa Nova,12/12/2020,198,8234,Comedia 
Boston's Finest,1/24/2019,137,4552,Crimen
Bottle Shock,4/20/2021,117,7538,Comedia 
Bounce: Behind the Velvet Rope,2/18/2021,77,8855,Documental
Boxcar Bertha,11/14/2019,74,7270,Crimen
Boy Meets Boy,3/21/2021,134,882,Comedia 
Boy Meets Girl,11/08/2021,81,7303,Comedia 
Brado,3/24/2022,127,5119,Comedia 
Brady Bunch Movie,2/28/2019,89,3467,Comedia 
Brain Donors,2/15/2021,117,9553,Comedia 
Bran Nue Dae,7/14/2021,95,6255,Comedia 
Brand Upon the Brain!,6/13/2022,190,5948,Comedia 
Breakfast of Champions,7/28/2023,95,5420,Comedia 
Breakfast with Scot,12/28/2020,79,4865,Comedia 
Break-in,8/24/2023,66,4842,Comedia 
Breaking Wind,6/22/2021,117,107,Comedia 
Breaks,5/31/2023,104,110,Comedia 
Break-Up,5/17/2021,177,1919,Comedia 
Breed,7/30/2022,91,812,Terror
Brewster's Millions,06/07/2019,203,2750,Comedia 
Bridegroom,4/29/2023,89,9722,Documental
Brigadoon,7/17/2023,187,8442,Fantasia
Bright Days Ahead,02/11/2022,85,2518,Comedia 
Bright Young Things,6/19/2020,177,5949,Comedia 
Brinks Job,09/10/2022,79,1925,Crimen
Broadcast News,8/30/2020,183,1137,Comedia 
Broadway Damage,12/16/2022,201,5194,Comedia 
Broken Lance,12/24/2021,181,6700,Western
Bronies: The Extremely Unexpected Adult Fans of My Little Pony,04/09/2020,79,6920,Documental
Brother,5/22/2019,177,3133,Crimen
Brother Rat,10/17/2019,122,7056,Comedia 
Brotherhood,07/06/2023,95,6229,Crimen
Brown Sugar,03/02/2021,79,9536,Comedia 
Brubaker,02/02/2021,198,6806,Crimen
Bruno,12/15/2020,195,5318,Comedia 
Brutal Beauty: Tales of the Rose City Rollers,02/01/2022,177,6450,Documental
Brutal Relax,9/19/2020,121,8132,Comedia 
Brute ,02/09/2022,141,2086,Crimen
B-Side,04/08/2019,181,1790,Comedia 
Bubble,6/28/2019,170,7126,Comedia 
Buck,7/16/2021,100,4510,Documental
Budd Boetticher: An American Original ,3/13/2021,122,858,Documental
Buffoon,12/04/2022,185,1830,Comedia 
Bukowski: Born into This,4/25/2020,71,8880,Documental
Bullets Don't Argue,07/12/2022,101,1676,Crimen
Buried Alive,05/10/2022,126,1891,Terror
Burnt Offerings,06/05/2019,124,6743,Terror
Burt's Buzz,2/27/2019,116,5448,Documental
Business of Being Born,2/23/2023,129,4975,Documental
Buster Keaton: A Hard Act to Follow,1/13/2020,203,2784,Documental
Bustin' Down the Door,12/14/2018,89,3202,Documental
Bustin' Loose,8/29/2022,68,9271,Comedia 
Buttcrack,11/08/2020,86,8496,Comedia 
Bye Bye Braverman,9/19/2021,95,8343,Comedia 
C.H.U.D. II - Bud the Chud,11/03/2018,95,9671,Comedia 
Cabin Fever 2: Spring Fever,09/12/2022,95,7890,Terror
Cadaver Christmas,1/26/2020,117,7722,Terror
Caddyshack,10/14/2020,184,1058,Comedia 
Cage aux Folles II,5/27/2021,183,4887,Comedia 
Caged Heat,7/26/2020,77,1231,Crimen
Cake,5/22/2023,202,1227,Comedia 
Caller,08/12/2020,112,8745,Crimen
Cama adentro,09/09/2020,154,9972,Documental
Camille Claudel 1915,03/01/2020,133,6257,Aventura
Camp Nowhere,11/21/2020,95,4982,Comedia 
Campanadas a medianoche,10/10/2020,134,3715,Comedia 
Campus Man,06/08/2022,93,1447,Comedia 
Candidate,01/08/2019,145,6523,Crimen
Candy Snatchers,4/20/2022,102,2711,Comedia 
Cannibal Women in the Avocado Jungle of Death,08/04/2020,140,9143,Aventura
Cape Fear,01/08/2019,122,2350,Documental
Capitalism: A Love Story,01/02/2023,184,2634,Crimen
Captain Abu Raed,3/19/2020,117,6931,Aventura
Capturing Mary,04/03/2023,181,8127,Crimen
Carancho,3/22/2019,60,1214,Crimen
Caretakers,11/04/2021,128,126,Crimen
Carmen Comes Home ,8/24/2019,208,9100,Crimen
Carnival of Souls,3/22/2022,181,1283,Documental
Carriers,4/27/2020,95,740,Terror
Carry On Constable,11/25/2021,60,3426,Comedia 
Carry on Cruising,3/23/2021,136,8568,Comedia 
Carter,8/23/2022,190,4164,Crimen
Case 39,06/07/2019,95,5665,Terror
Casino Jack and the United States of Money,09/07/2021,117,3560,Documental
Cast a Dark Shadow,12/28/2022,181,872,Crimen
Cast Away,10/06/2018,134,7078,Aventura
Castle Freak,1/16/2023,181,6061,Terror
Casual Sex?,04/04/2023,95,920,Comedia 
Catch That Kid,09/08/2022,106,9126,Aventura
Catch-22,10/11/2019,169,7783,Comedia 
Catching Hell,2/14/2022,135,4223,Documental
Cattle Call,4/24/2022,207,4131,Comedia 
Cautiva,10/25/2020,118,9388,Comedia 
Cavemen,10/25/2019,89,9761,Comedia 
Chained for Life,03/06/2022,134,8591,Comedia 
Charles Bradley: Soul of America,6/19/2021,128,3338,Documental
Charlie Bartlett,12/26/2020,89,9034,Comedia 
Charlie Chan and the Curse of the Dragon Queen,06/08/2023,148,5011,Comedia 
Charlie Chan at the Circus,10/21/2022,89,3465,Comedia 
Charlie Chan at the Olympics,03/04/2023,248,3362,Comedia 
Charlie Chan at the Opera,6/13/2021,198,6223,Comedia 
Charlie Chan in Reno,8/22/2019,97,5649,Comedia 
Charlie Chan in Rio,7/14/2022,141,814,Comedia 
"Charlie, the Lonesome Cougar",2/17/2021,91,8167,Aventura
Chase a Crooked Shadow,07/08/2020,192,9103,Crimen
Chaser,3/18/2021,206,6661,Crimen
Chasing Papi ,6/24/2023,181,3338,Comedia 
Chato's Land,9/14/2018,107,7783,Western
Cheaper by the Dozen 2,8/17/2022,185,7865,Aventura
Cheech & Chong's Nice Dreams,6/21/2021,117,595,Comedia 
Cheech & Chong's The Corsican Brothers,12/19/2020,183,4515,Comedia 
Cheerleader Massacre,6/14/2022,195,1077,Terror
Chemical Brothers: Don't Think,1/16/2021,181,1163,Documental
Cheyenne Social Club,4/17/2023,206,1407,Comedia 
Chicago Overcoat,06/06/2023,183,1788,Crimen
Chiedimi se sono felice,04/05/2020,117,2717,Comedia 
Chiko,1/25/2022,65,2558,Crimen
Children of Noisy Village,2/28/2022,181,9534,Aventura
Children of the Corn II: The Final Sacrifice,08/08/2019,129,3755,Terror
Children of the Corn III,10/31/2022,80,4801,Terror
Children of the Corn: Genesis,08/06/2023,116,6769,Terror
Children of the Night,7/23/2020,155,612,Terror
Chimpanzee,7/25/2022,89,6434,Documental
China Blue,4/13/2021,137,9102,Documental
Chinese Puzzle,03/05/2022,117,6907,Comedia 
Chisum,11/30/2022,82,497,Western
Chitty Chitty Bang Bang,4/16/2020,152,4277,Aventura
Christmas at Pee Wee's Playhouse ,5/17/2020,95,5809,Comedia 
Christmas in Connecticut,2/19/2020,145,5452,Comedia 
Christmas Story ,04/08/2019,117,3315,Comedia 
Chupa,10/13/2019,160,6161,Terror
"Ciao, Professore! ",10/24/2021,134,1214,Comedia 
Ciberinfierno: La investigacion que destapo el horror,3/26/2020,88,377,Documental
Cinderella,2/21/2022,68,4362,Fantasia
Cinematographer Style,06/09/2019,60,950,Documental
Circle of Eight,10/07/2021,153,4088,Terror
Citizen Gangster ,04/01/2020,129,3487,Crimen
Citizen X,5/29/2022,153,2077,Crimen
City by the Sea,4/17/2021,122,7984,Crimen
Claire's Knee,9/16/2019,89,7220,Comedia 
Claustrofobia,12/02/2018,132,71,Suspenso
Client 9: The Rise and Fall of Eliot Spitzer,12/19/2022,181,94,Documental
Clifford,06/05/2022,206,387,Comedia 
Clockers,3/16/2022,122,2519,Crimen
Closer You Get,10/24/2022,95,7342,Comedia 
Club Paradise,06/04/2023,96,1449,Comedia 
Clue,6/29/2021,134,3433,Comedia 
Cocaine Bear,7/16/2022,95,6532,Comedia 
Cocaine Shark,3/13/2021,106,2253,Comedia 
Coffee and Cigarettes,10/10/2019,149,1732,Comedia 
Coffee Town,05/08/2019,117,12,Comedia 
Cohen and Tate,01/04/2023,198,2718,Crimen
Cold Sweat ,10/03/2019,158,6539,Crimen
Coldblooded,8/17/2019,181,3578,Comedia 
Colision,12/24/2020,92,9704,Comedia 
Collector,10/14/2021,65,5331,Crimen
Columbus Circle,9/30/2021,184,8641,Crimen
ComDads ,8/25/2019,125,5030,Comedia 
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",09/07/2019,95,7808,Comedia 
Come On Rangers,5/20/2022,158,1697,Aventura
Comfort and Joy,7/20/2021,184,9757,Comedia 
Como Dios,10/12/2003,134,6058,Comedia 
Como me enamore de un ganster,8/18/2021,134,9634,Comedia 
Como ser un Latin Lover,2/24/2022,188,266,Comedia 
Company Man,09/12/2018,184,3337,Comedia 
Compulsion,06/02/2019,135,8978,Crimen
Con faldas y a lo loco,8/23/1959,95,7870,Comedia 
Con la muerte en los talones,05/10/1959,84,1936,Aventura
Conan O'Brien Can't Stop,01/02/2020,164,3278,Documental
Concrete Night ,5/22/2023,95,2222,Crimen
Condemned,5/25/2023,96,5172,Terror
Condemned Man,7/20/2022,134,9229,Crimen
Confessions of a Burning Man,04/02/2023,135,238,Documental
Confessions of a Gangsta,3/22/2021,155,6391,Crimen
Confessions of a Window Cleaner,08/11/2022,87,3004,Comedia 
Confidence Girl,7/17/2023,248,5562,Comedia 
Confidentially Connie,7/22/2022,95,7808,Comedia 
Confidentially Yours ,1/14/2019,165,9228,Aventura
Conquest of Space,12/25/2018,181,8474,Comedia 
Conrack,12/14/2022,74,9982,Comedia 
Conserva Acabada,10/27/2019,190,9809,Comedia 
Constant Nymph,3/15/2021,112,2373,Terror
Convoy,5/25/2021,203,6786,Crimen
Cook the Thief His Wife & Her Lover,04/07/2020,197,7669,Crimen
Cookie,01/02/2021,134,2974,Terror
Coronado,7/13/2023,85,5838,Aventura
Corredores de medianoche,11/27/2019,95,2374,Crimen
Corrina Corrina,4/15/2019,89,4762,Comedia 
Cosmonaut,1/24/2022,79,2218,Aventura
CQ,5/23/2022,176,5984,Comedia 
Crackers,8/21/2020,184,3407,Comedia 
Cradle of Fear,9/17/2022,123,9821,Terror
Craig Ferguson: Does This Need to Be Said?,06/09/2021,183,6425,Comedia 
Crazy People,06/07/2019,173,8308,Comedia 
Crepusculo ,3/29/2021,176,670,Terror
Crimes of the Heart,3/24/2019,143,8733,Comedia 
Crimewave,11/11/2019,184,8563,Comedia 
Criminales a la vista,01/07/2023,102,3823,Crimen
Criss Cross,7/25/2019,62,9835,Crimen
Critical Condition,9/28/2020,96,3630,Comedia 
Critters 2: The Main Course,11/19/2021,152,5816,Comedia 
Crossroads,7/18/2020,95,3248,Comedia 
Cruel Gun Story ,12/09/2022,161,8047,Crimen
Cry Baby Lane,12/14/2018,95,5195,Comedia 
Cuando Harry encontro a Sally,5/18/1989,145,6688,Comedia 
Cuban Fury,09/06/2022,95,8951,Comedia 
Cul-de-sac,10/17/2019,95,5242,Comedia 
Culpable,10/07/2018,100,2412,Crimen
Curse of the Blair Witch,02/06/2020,207,566,Terror
Curse of the Pink Panther,9/30/2021,99,3092,Comedia 
Cut and Run ,4/19/2021,176,1511,Aventura
Cutthroat Island,11/20/2019,155,6176,Aventura
Cyclomania,3/31/2022,162,2441,Comedia 
D.A.R.Y.L.,11/18/2018,95,5727,Aventura
D.C. Cab,3/28/2020,74,6871,Comedia 
Da Hip Hop Witch,4/19/2022,73,481,Comedia 
Dad Savage,10/26/2022,181,9628,Crimen
Dakota,05/10/2023,117,9140,Crimen
Daltry Calhoun,4/14/2022,184,8086,Comedia 
Damien: Omen II,12/22/2019,61,7898,Terror
Damn Yankees!,06/08/2020,95,3728,Comedia 
Damsel,05/08/2023,72,24,Comedia 
Damsels in Distress,08/09/2019,145,9117,Comedia 
Dana Carvey: Squatting Monkeys Tell No Lies,07/08/2020,60,7068,Documental
Dancemaker,12/30/2018,137,9288,Documental
Dancing Lady,4/13/2022,95,3012,Comedia 
Dangerous Place,4/14/2022,132,1269,Crimen
Dans la peau d'une grande,04/07/2023,195,8537,Comedia 
Darby O'Gill and the Little People,04/07/2019,203,4335,Aventura
Dark Mirror,2/15/2020,106,6254,Terror
Dark Shadows,03/10/2020,71,6161,Comedia 
Darker Than Night,4/28/2020,95,8409,Terror
Darkon,04/07/2022,102,1156,Documental
Darktown Strutters,06/03/2022,86,1044,Comedia 
Darling Companion,10/09/2018,62,9353,Comedia 
Daughters of Darkness ,07/12/2023,79,4387,Terror
Day of the Dead,11/12/2022,173,3222,Terror
Day of the Dead 2: Contagium,9/28/2021,183,7984,Terror
Daylight Robbery,11/07/2021,102,5205,Crimen
Dead Air,9/26/2022,95,2605,Terror
Dead Birds,7/30/2023,103,8778,Terror
Dead Fish,7/19/2020,84,7445,Crimen
Dead Genesis,06/11/2022,139,491,Terror
Dead Man's Shoes,12/07/2018,117,1143,Crimen
Dead Men Tell,09/03/2022,166,6464,Comedia 
Dead Mothers Club,2/17/2019,127,5233,Documental
Dead or Alive: Hanzaisha,3/14/2023,184,4474,Crimen
Dead Silence,07/02/2021,152,3274,Terror
Deadly Blessing,5/15/2023,71,8497,Terror
Deadly Terror,11/08/2020,199,1219,Terror
Deadtime Stories,02/07/2019,248,6162,Comedia 
Dealer,6/26/2023,194,1461,Crimen
