Titulo,Estreno,Duracion,Ventas,Genero
Alias,1/23/2023,119,8663,Drama
Alice in the Cities ,5/15/2022,248,6544,Drama
Alice in Wonderland,9/23/2022,171,4645,Aventura
Alien 3,11/25/2022,199,1879,Ciencia Ficcion
Alien Nation,10/25/2018,167,4109,Accion
Alive and Ticking,10/24/2020,186,41,Comedia 
All at Sea,10/11/2022,134,6525,Comedia 
All Mine to Give,1/19/2019,102,8775,Drama
All of Me,6/27/2020,201,1063,Comedia 
All That... for This?!,8/18/2021,180,3065,Comedia 
All the Boys Love Mandy Lane,11/08/2021,175,8034,Terror
All the King s Men,10/22/2020,206,6331,Drama
All the Vermeers in New York,10/19/2020,95,9598,Comedia 
All Watched Over by Machines of Loving Grace,7/14/2022,95,500,Documental
Allegro non troppo,6/17/2021,194,6607,Animacion
All's Faire in Love,2/22/2021,79,7463,Comedia 
Almost Married,12/20/2020,181,1747,Comedia 
Aloft,3/14/2023,167,7892,Drama
Aloha Summer,05/06/2021,167,3115,Comedia 
Alone in the Dark II,05/06/2021,172,9843,Terror
Alpha and Omega 2: A Howl-iday Adventure ,09/07/2019,153,7427,Animacion
Alpha y omega,12/19/2018,95,3411,Animacion
Alphabet City,8/25/2021,149,8543,Crimen
Altman,9/18/2018,174,9468,Documental
Amandla,8/25/2023,125,8059,Documental
Amanecer,7/19/2023,190,8390,Drama
Amanecer II,11/17/2022,117,6493,Drama
Amar te duele,03/09/2020,175,3297,Drama
Amazing Journey: The Story of The Who,6/26/2022,183,2511,Documental
Amazon Women on the Moon,5/23/2020,147,6192,Comedia 
Ambush,12/24/2021,105,8824,Accion
Amelia,12/17/2018,209,6289,Drama
Amen,8/23/2021,74,2635,Drama
America Before Columbus,08/04/2021,95,1383,Documental
American Crime,4/30/2019,206,5701,Crimen
American Gun,02/09/2020,106,2131,Crimen
American Me,3/23/2023,95,6671,Crimen
American Mullet,02/06/2020,95,9576,Documental
American Ninja,2/28/2022,97,2264,Accion
American Psycho II: All American Girl,11/22/2020,102,7510,Crimen
American Sniper,4/27/2019,125,7800,Accion
American Tail: Fievel Goes West,5/21/2021,117,972,Animacion
American Virgin,3/29/2020,181,1555,Comedia 
American Zombie,7/19/2019,137,5044,Comedia 
Americano,3/24/2022,69,1290,Drama
America's Heart and Soul,11/24/2022,156,1016,Documental
AmeriQua,10/14/2019,71,2532,Comedia 
Amigos,02/02/2019,183,627,Comedia 
Amish Grace,6/28/2022,193,5196,Drama
Amish Murder,10/16/2019,77,1479,Crimen
Amityville 3-D,03/09/2022,157,3547,Terror
Amityville: A New Generation,6/14/2019,181,88,Terror
Amnesico,03/08/2022,95,8878,Thriller
Among Us ,7/29/2022,61,2570,Thriller
Amongst Friends,02/12/2022,157,4735,Crimen
Amor a primera vista,05/01/2023,181,4305,Comedia 
Amor adulto,8/15/2023,184,1197,Comedia 
Amor al cuadrado otra vez,7/14/2021,108,4725,Comedia 
Amor de gata,6/16/2020,202,5683,Drama
Amor Eterno,9/23/2018,142,9071,Drama
Amores Perros,02/12/2019,153,9685,Drama
Amos & Andrew,1/13/2021,77,8979,Comedia 
"Amour fou, L'",12/09/2022,181,8211,Comedia 
Amu,09/06/2021,94,4246,Drama
An Alligator Named Daisy,09/03/2019,181,6145,Comedia 
An American Affair,9/16/2019,117,7915,Drama
An Empress and the Warriors,01/09/2023,175,6957,Accion
An Enemy of the People,2/22/2022,194,3455,Drama
An Everlasting Piece,11/03/2018,60,1663,Comedia 
An Injury to One,7/16/2023,182,5819,Documental
Anamorph,06/06/2020,95,4074,Crimen
Anastasia,7/23/2020,118,8783,Animacion
Anatomy ,3/13/2023,195,2223,Terror
Anazapta ,12/29/2020,179,9647,Misterio
Anchorman,9/16/2004,190,9064,Comedia 
Anchorman 2: The Legend Continues,3/31/2022,108,3079,Comedia 
And Nobody Weeps for Me ,11/18/2022,96,4935,Drama
And Starring Pancho Villa as Himself,9/25/2019,166,9804,Drama
And the Band Played On,09/03/2021,114,9266,Drama
Androcles and the Lion,02/07/2022,184,5291,Comedia 
Angel Dog,03/06/2020,160,8119,Drama
Angel Heart,3/22/2021,195,5189,Crimen
Angels & Demons,05/09/2021,150,7836,Misterio
Angels of the Universe,03/07/2022,159,2835,Drama
Angels' Share,6/20/2020,100,4100,Comedia 
Animal Factory,10/26/2019,193,6323,Crimen
Animal Farm,3/16/2019,95,2805,Animacion
Animales fantasticos,12/19/2020,95,1398,Aventura
Aningaaq,9/15/2018,132,7072,Drama
Aniquilacion,1/16/2021,181,2841,Aventura
Anna and the King of Siam,6/29/2021,95,1929,Drama
Annabelle,1/18/2020,95,9641,Terror
Annie,7/25/2020,134,5084,Comedia 
Annie Hall,7/13/1977,137,682,Comedia 
Another Day in Paradise,11/22/2020,163,8240,Drama
Answers to Nothing,2/21/2020,64,3741,Drama
Antares,09/04/2019,68,48,Drama
Anything Else,04/12/2021,183,8144,Comedia 
Anything Goes,8/23/2019,134,4641,Comedia 
Apache Territory ,10/04/2022,117,7371,Western
Apocalypto,11/15/2019,181,4848,Aventura
Apollo 18,7/16/2023,88,3012,Terror
Appointment in Tokyo,04/09/2021,92,3465,Drama
Aprendiz de Caballero,09/05/2020,95,4191,Aventura
April in Paris,12/25/2019,101,1079,Comedia 
Aquaman,4/20/2023,83,4043,Accion
Arbitrage,8/26/2023,89,4597,Drama
Arbor,02/08/2022,177,133,Documental
Archangel,04/10/2022,181,4594,Drama
Are We Done Yet?,1/27/2022,98,7506,Comedia 
Are You Here,1/20/2019,131,6146,Comedia 
Argentina latente,11/03/2022,152,3338,Documental
Argonuts,6/23/2023,183,54,Documental
Arguing the World,08/12/2019,128,805,Documental
Aristogatos,12/31/2021,119,9610,Animacion
Arizona Baby,5/14/1987,119,2926,Comedia 
Armed and Dangerous,01/10/2021,95,9945,Comedia 
Army of Crime ,01/05/2020,181,7618,Crimen
Around the Block,4/13/2019,93,8443,Drama
Around the World Under the Sea,1/24/2020,179,5578,Documental
"Arrested Development Documentary Project, The",01/01/2022,184,4509,Documental
Arsenico por compasion,03/06/1944,87,1261,Comedia 
Art of War III: Retribution,08/01/2023,209,1327,Accion
Arthur 2: On the Rocks,9/27/2019,134,8857,Comedia 
Arthur and the Revenge of Maltazard ,9/14/2020,181,3584,Animacion
Arthur Christmas,11/17/2022,181,8923,Animacion
As I Lay Dying,3/27/2019,88,5038,Drama
As If I Didn't Exist ,09/07/2019,85,2357,Documental
Asesinato ¿Que asesinato?,3/21/2021,184,6827,Crimen
Ashes and Diamonds,6/26/2021,184,3258,Drama
Asi en la tierra como en el infierno,10/29/2020,165,9454,Terror
Asoka the Great,7/20/2022,200,3366,Accion
Aspen Extreme,02/03/2020,181,237,Drama
Assassination Tango,12/22/2020,148,597,Drama
Assassins,10/24/2019,186,6674,Accion
Assault on Precinct 13,12/08/2018,157,5862,Accion
Assisted Living,4/27/2021,100,451,Comedia 
Asterix & Obelix: Mission Cleopatra,1/29/2021,193,9708,Aventura
Asterix in America,8/14/2021,105,34,Animacion
Asterix in Britain ,01/08/2020,61,1880,Animacion
Asteroid City,08/02/2019,134,9631,Accion
Astronaut Farmer,12/25/2020,71,7484,Aventura
Asvins,2/21/2022,73,6952,Drama
Asylum,11/18/2019,68,2511,Terror
At Home by Myself... with You,9/23/2022,91,2025,Comedia 
At Long Last Love,01/06/2019,200,6527,Comedia 
At Midnight I'll Take Your Soul ,01/12/2021,89,4219,Terror
At the River I Stand,3/25/2021,83,2392,Documental
Atenea,04/11/2020,137,7991,Drama
Atenea,02/12/2022,181,4705,Comedia 
Aterriza como puedas,09/11/1980,65,1350,Animacion
Atlantis: El imperio perdido,2/23/2001,169,9317,Animacion
Atlantis: Milo's Return ,9/24/2022,181,9733,Drama
Atlas Shrugged: Part 1,6/21/2020,128,5253,Drama
Atlas Shrugged: Who Is John Galt?,2/21/2023,92,1754,Drama
Atrapado en el tiempo,9/20/1993,146,9399,Aventura
Atrocious,3/26/2023,95,3661,Terror
Attack,7/27/2020,87,6605,Drama
Attack from Space,10/25/2019,60,562,Ciencia Ficcion
Attack of the 5 Ft. 2 Women,4/19/2021,145,3258,Comedia 
Attack of the 50 Ft. Woman,10/21/2020,100,4711,Comedia 
Attack of the 50 Ft. Woman,05/03/2021,153,5939,Terror
Attack of the Giant Leeches,12/23/2020,134,1950,Ciencia Ficcion
Attack of the Puppet People,10/12/2021,180,1320,Comedia 
Attack the Block,03/08/2021,201,4070,Comedia 
Attack the Gas Station!,10/26/2018,159,5901,Accion
Attila the Hun,10/19/2018,134,9930,Drama
Auggie Rose ,03/12/2021,87,6618,Drama
August,1/15/2022,120,7893,Drama
Austin Powers in Goldmember,12/13/2021,76,6357,Comedia 
Author! Author!,11/27/2019,125,5509,Comedia 
Autism: The Musical,09/05/2021,248,548,Documental
Avalon,01/07/2021,69,6130,Drama
Avanti!,6/17/2021,129,6770,Comedia 
Avatar,10/02/2019,122,7826,Accion
Avenue Montaigne,05/10/2021,116,3592,Comedia 
Average Little Man,2/24/2019,134,4701,Drama
AVPR: Aliens vs. Predator - Requiem,5/14/2021,181,47,Accion
Awakenings,08/08/2022,134,4969,Drama
Aziz Ansari: Buried Alive,01/02/2021,73,2774,Documental
B.N.B.,04/05/2021,110,3707,Comedia 
Baby Mama,5/31/2019,134,1999,Comedia 
Babylon 5: In the Beginning,3/23/2019,159,703,Accion
Babylon A.D.,4/24/2023,181,4018,Accion
Back in Business,7/13/2023,207,546,Accion
Back to the Beach,08/09/2022,121,3310,Comedia 
Back to the Future,06/07/2020,111,4372,Aventura
Back to the Future Part III,12/31/2018,147,3846,Aventura
Back to the USSR - takaisin Ryssiin,11/17/2020,134,1243,Drama
Backstairs ,3/18/2023,121,6212,Drama
Bad Blood: A Cautionary Tale ,05/12/2023,183,1156,Drama
Bad Boys,12/25/2019,124,1657,Accion
Bad Fucking,6/21/2019,150,6581,Comedia 
Bad Influence,5/30/2022,167,622,Crimen
Bad Milo ,09/11/2022,100,4755,Comedia 
Bad Moon,03/08/2022,95,8637,Terror
Badman's Country,11/29/2019,209,710,Western
Bait,6/24/2020,89,385,Accion
Bajo la misma estrella,1/30/2021,80,7972,Drama
Bajo las estrellas,04/05/2020,172,8854,Drama
Bala perdida ,02/11/2022,102,5190,Accion
Bala perdida II,8/20/2021,184,4769,Accion
Ballad of the Paper Balloons ,8/13/2021,189,5502,Drama
Ballast,10/11/2018,122,2223,Drama
Balto,10/03/2018,129,4231,Animacion
Balto,05/04/2019,156,6890,Animacion
Bambi,11/04/1942,117,2226,Animacion
Bananas,1/25/2023,79,237,Comedia 
Band Called Death,09/09/2020,60,5392,Documental
Band of Outsiders ,03/09/2023,181,4649,Comedia 
Bandidas,12/12/2020,94,4440,Accion
Bandwagon,8/23/2023,95,7150,Comedia 
Bar Girls,6/29/2023,100,4739,Drama
Barabbas,08/05/2022,134,2144,Drama
Baran,7/20/2019,102,9964,Drama
Barb Wire,04/07/2019,102,7165,Accion
Barbarella,12/29/2018,110,408,Aventura
Barbarian Queen,2/28/2022,172,6389,Aventura
Barbie,08/12/2021,67,1044,Animacion
Barfly,05/12/2020,189,1188,Drama
Barking Dogs Never Bite ,7/20/2022,134,3537,Comedia 
Barry Lyndon,2/19/2020,134,4408,Drama
Bartleby,2/28/2019,61,613,Drama
Barton Fink,05/12/2019,134,2485,Comedia 
Bastard Out of Carolina,5/22/2019,75,1282,Drama
Batman,4/20/2021,134,5491,Accion
Batman & Robin,4/25/2023,134,6661,Accion
Batman Forever,12/28/2020,200,1036,Accion
Batman: Gotham Knight,10/03/2020,132,794,Animacion
Batman: Mask of the Phantasm,1/29/2021,101,9570,Animacion
Batman: Mystery of the Batwoman,10/12/2022,80,2459,Animacion
"Batman: The Dark Knight Returns, Part 2",12/09/2022,84,4724,Animacion
Batman: Under the Red Hood,1/25/2022,90,9781,Animacion
Batman: Year One,10/08/2020,157,8642,Animacion
Battle in Outer Space,3/18/2022,194,6625,Accion
Battle Royale,10/18/2018,95,6183,Accion
Battlestar Galactica: The Plan,11/03/2020,184,6970,Accion
Bay,6/27/2022,157,6203,Drama
Bay of Angels ,04/08/2021,181,9393,Drama
Bayi Ajaib,11/09/2020,181,5032,Animacion
Beaches,6/16/2020,143,1988,Comedia 
Beaches of Agnes,10/01/2021,206,9248,Documental
"Beans of Egypt, Maine",1/25/2021,174,3431,Drama
Beastly,8/22/2020,69,8691,Drama
Beats Rhymes & Life: The Travels of a Tribe Called Quest,10/20/2019,202,3779,Documental
Beau tiene miedo,12/24/2020,75,2493,Drama
Beautiful Joe,12/04/2019,147,9145,Drama
Beauty and the Bastard,11/05/2021,176,496,Comedia 
Beauty Prize,6/15/2020,149,5863,Comedia 
Beauty Shop,12/21/2019,120,1860,Comedia 
Becky Sharp,08/12/2020,127,3138,Drama
Becoming Jane,4/30/2019,104,6734,Drama
Beethoven's 3rd,04/03/2020,184,7836,Comedia 
Beethoven's 5th,12/13/2018,166,122,Comedia 
Beethoven's Treasure Tail,4/19/2019,76,325,Animacion
Behind Enemy Lines,6/19/2019,194,1389,Accion
Behold a Pale Horse,05/01/2022,129,2670,Drama
Being Human,01/04/2021,96,4092,Comedia 
Believe Me,04/04/2023,183,4848,Comedia 
Belle of the Nineties,07/08/2019,181,2508,Comedia 
Beloved Country,6/15/2020,112,8421,Drama
Beloved/Friend ,10/08/2019,118,1713,Drama
Bending the Rules,12/19/2020,81,9069,Accion
Beneath,06/04/2022,98,4346,Drama
Beneath the Dark,3/21/2019,144,4583,Drama
Beneath the Rooftops of Paris,10/06/2020,109,6302,Drama
Benny & Joon,06/06/2021,152,7244,Comedia 
Beowulf,10/02/2022,60,576,Accion
Besotted,9/16/2020,66,4438,Comedia 
Best Friends,5/31/2022,104,1937,Crimen
Best Laid Plans,2/22/2022,181,3996,Crimen
Bestiaire,05/03/2021,122,9203,Documental
Betrayal,04/01/2021,102,8100,Drama
Better Living Through Chemistry,3/30/2019,102,3980,Comedia 
Better Than Chocolate,9/18/2021,152,3300,Comedia 
Better Than Sex,2/25/2020,171,3485,Comedia 
Better Tomorrow,9/29/2021,150,5463,Accion
Betty Blue ,08/03/2020,192,295,Drama
Between the Devil and the Deep Blue Sea,9/23/2020,159,1368,Drama
Beverly Hillbillies,10/12/2018,171,8746,Comedia 
Beverly Hills Chihuahua 3,3/28/2021,100,4566,Comedia 
Beyond All Boundaries,11/13/2019,142,5521,Documental
Beyond the Door II,02/06/2021,95,967,Terror
Beyond the Law ,05/03/2020,157,7561,Accion
Beyond the Mat,12/09/2020,90,6508,Documental
Beyond the Sea,3/13/2023,134,9082,Drama
Beyond the Valley of the Dolls,12/27/2018,169,6729,Comedia 
Bhaag Milka Bhaag,4/15/2021,100,7802,Drama
Bienvenido a Farewell-Gutmann,03/06/2021,98,4553,Drama
Big Girls Don't Cry... They Get Even,11/13/2019,167,6618,Comedia 
Big hero,8/16/2014,157,3164,Animacion
Big Man Japan,09/10/2021,202,2427,Ciencia Ficcion
Big Momma's House,8/23/2022,131,8598,Comedia 
Big Shot: Confessions of a Campus Bookie,8/15/2021,134,5793,Comedia 
Big Trouble,11/29/2019,81,9113,Comedia 
Big White,08/06/2023,202,4505,Comedia 
Bigfoot Lives,1/28/2021,181,4581,Documental
Bill Bailey: Tinselworm,5/15/2020,140,3656,Comedia 
Bill Burr: I'm Sorry You Feel That Way,06/09/2019,95,254,Comedia 
Bill Burr: Let It Go,5/27/2020,179,7724,Comedia 
Bill Hicks: Revelations,11/13/2019,137,9039,Documental
Billy Madison,2/15/2023,81,5128,Comedia 
Bio Zombie ,10/30/2021,94,3674,Accion
Bio-Dome,07/08/2021,69,5116,Comedia 
Bionicle 2: Legends of Metru Nui,11/08/2022,140,8633,Animacion
Bird box,1/17/2019,181,9830,Drama
Birdemic: Shock and Terror,2/25/2020,179,6678,Terror
Birdman,6/21/2014,140,5212,Comedia 
Bis zum Ellenbogen,12/10/2018,181,9661,Drama
Black Beauty,10/17/2021,89,3920,Aventura
Black Book ,9/18/2018,141,6470,Drama
Black Butterflies,10/08/2021,81,2710,Drama
Black Cadillac,07/02/2023,102,7554,Terror
Black Caesar,10/15/2021,181,1928,Accion
Black Cauldron,10/16/2018,174,7021,Animacion
Black Coffee,06/04/2022,134,4637,Drama
Black Death,06/03/2020,181,1027,Aventura
Black Friday,6/20/2020,199,6511,Terror
"Black God, White Devil ",10/13/2022,78,5492,Drama
Black Gold,06/12/2023,186,4899,Aventura
Black Lightning,10/07/2018,62,8797,Accion
Black Rainbow,8/25/2022,79,9061,Terror
Black Sheep,01/01/2019,137,8218,Comedia 
Black Stallion Returns,12/06/2019,134,4136,Aventura
Black Sun,12/30/2021,162,1161,Documental
Black White + Gray,12/29/2020,146,1615,Documental
Blackboard Jungle,4/27/2021,70,7643,Crimen
Blackhat,1/16/2022,248,9424,Accion
Blackout,10/09/2022,180,8588,Drama
Blackrock,11/07/2022,134,6840,Drama
Blanca nieves,12/06/2021,95,7694,Drama
Blank Generation,1/30/2023,115,9902,Drama
Blankman,04/09/2022,181,4970,Accion
Blazing Guns,7/17/2020,134,6490,Accion
Bleak Night,6/29/2020,94,5211,Drama
Bleeder,10/06/2020,91,488,Crimen
Blind Horizon,4/24/2019,103,2485,Drama
Blind Husbands,4/18/2020,110,5622,Drama
Blind Spot: Hitler's Secretary,11/01/2022,95,8613,Documental
Bling: A Planet Rock,05/11/2023,95,4651,Documental
Bliss,01/07/2020,122,8670,Comedia 
Blonde Ambition,12/07/2022,79,9055,Comedia 
Blonde Crazy,1/13/2023,134,5041,Comedia 
Blonde Ice,11/18/2018,91,8650,Crimen
Blondie Knows Best,2/28/2022,206,4566,Comedia 
Blood,4/29/2019,63,5809,Crimen
Blood and Concrete ,10/14/2019,109,7258,Crimen
Blood in the Mobile,5/22/2022,117,4244,Documental
Blood Night: The Legend of Mary Hatchet,11/01/2021,77,5411,Terror
Blood on Satan's Claw ,11/24/2019,98,9788,Terror
Blood on the Moon,3/28/2022,68,8734,Western
Blood Work,10/06/2022,192,1756,Crimen
Bloodbath at the House of Death,10/21/2018,95,8864,Comedia 
Bloodline,10/19/2022,63,8175,Drama
Bloodlust: Subspecies III,1/17/2020,89,612,Fantasia
Bloomington,11/24/2018,64,8823,Drama
Blossoms in the Dust,6/25/2022,164,4985,Drama
Blue,02/03/2020,81,4188,Drama
Blue Lagoon,02/03/2022,174,6230,Aventura
Blue Skies,10/09/2018,97,4176,Comedia 
Blue Sky,7/24/2022,137,6240,Drama
Blue Smoke,1/30/2020,104,2275,Drama
Blue Spring ,03/04/2022,193,6312,Drama
